datetime,site_id,site_name,lat,lon
2018-05-10 19:56:56,6770,AQMD_NASA_48,34.104089,-117.746679
2018-05-10 19:57:25,6771,AQMD_NASA_48 B,34.104089,-117.746679
2018-05-10 19:57:26,6306,AQMD_NASA_5,34.155279,-118.568238
2018-05-10 19:57:56,6307,AQMD_NASA_5 B,34.155279,-118.568238
2018-05-10 19:57:40,6818,AQMD_NASA_6,34.214191,-118.16372
2018-05-10 19:56:50,6819,AQMD_NASA_6 B,34.214191,-118.16372
2018-05-10 19:57:16,2691,AQMD_NASA_7a,34.020148,-118.406339
2018-05-10 19:57:46,2692,AQMD_NASA_7a B,34.020148,-118.406339
2018-05-10 19:44:56,1846,AQMD_NASA_8,34.094693,-118.348052
2018-05-10 19:47:05,1847,AQMD_NASA_8 B,34.094693,-118.348052
2018-05-10 19:57:37,1858,AQMD_NASA_9a,33.962801,-118.406279
2018-05-10 19:56:47,1859,AQMD_NASA_9a B,33.962801,-118.406279
2018-05-10 19:57:14,1972,AQMD_NASA_ASU,36.217108,-81.680539
2018-05-10 19:57:44,1973,AQMD_NASA_ASU B,36.217108,-81.680539
2018-05-10 19:56:44,547,AQMD_RTI_1,34.065666,-118.021296
2018-05-10 19:57:14,548,AQMD_RTI_1 B,34.065666,-118.021296
2018-05-10 19:57:23,6848,AQMD_SLongBeach,33.792412,-118.175286
2018-05-10 19:57:53,6849,AQMD_SLongBeach B,33.792412,-118.175286
2018-05-10 19:57:08,3577,AQMD_TEST_1,33.999725,-117.336687
2018-05-10 19:57:38,3578,AQMD_TEST_1 B,33.999725,-117.336687
2018-05-10 19:57:16,8394,AQSB_TESTING,38.560306,-121.497029
2018-05-10 19:57:46,8395,AQSB_TESTING B,38.560306,-121.497029
2018-05-10 19:57:26,8422,AQSB_TESTING_1,38.560307,-121.497095
2018-05-10 19:57:56,8423,AQSB_TESTING_1 B,,
2018-05-10 19:57:31,8424,AQSB_TEST_3,38.5786,-121.4913
2018-05-10 19:58:00,8425,AQSB_TEST_3 B,38.5786,-121.4913
2018-05-10 19:57:21,8414,AQSB_TEST_4,38.5786,-121.4913
2018-05-10 19:57:51,8415,AQSB_TEST_4 B,38.5786,-121.4913
2018-05-10 19:56:56,8408,AQSB_TEST_5,38.5786,-121.4913
2018-05-10 19:57:26,8409,AQSB_TEST_5 B,38.5786,-121.4913
2018-05-10 19:57:45,8396,AQSB_TEST_6,38.5786,-121.4913
2018-05-10 19:56:55,8397,AQSB_TEST_6 B,38.5786,-121.4913
2018-05-10 19:56:58,2524,Arbour Park,39.655167,-75.761845
2018-05-10 19:57:28,2525,Arbour Park B,39.655167,-75.761845
2018-05-10 19:57:56,567,Arcadia,34.126789,-118.06222
2018-05-10 19:57:06,568,Arcadia B,34.126789,-118.06222
2018-05-10 19:57:38,4347,Arlington Forest,38.872028,-77.117474
2018-05-10 19:56:48,4348,Arlington Forest B,38.872028,-77.117474
2018-05-10 19:57:17,1732,ARMIDALE_1,-30.517192,151.659419
2018-05-10 19:57:47,1733,ARMIDALE_1 B,-30.517192,151.659419
2018-05-10 19:56:46,1738,Armidale_2,-30.509577,151.675049
2018-05-10 19:57:16,1739,Armidale_2 B,-30.509577,151.675049
2018-05-10 19:57:52,1720,Armidale_3,-30.514377,151.665626
2018-05-10 19:57:01,1721,Armidale_3 B,-30.514377,151.665626
2018-05-10 19:57:32,5970,"Armonk, NY",41.129759,-73.70841
2018-05-10 19:56:42,5971,"Armonk, NY B",41.129759,-73.70841
2018-05-10 19:56:46,365,Armour Place P1,50.794745,-120.320312
2018-05-10 19:57:16,366,Armour Place P1 B,50.794745,-120.320312
2018-05-10 19:57:54,3307,Arroyo Grande Village Glen,35.132549,-120.577622
2018-05-10 19:55:26,3308,Arroyo Grande Village Glen B,35.132549,-120.577622
2018-05-10 19:57:14,4311,Ashby,38.758456,-121.202567
2018-05-10 19:57:37,4312,Ashby B,38.758456,-121.202567
2018-05-10 19:57:26,3384,"Ashland, OR",42.199935,-122.704227
2018-05-10 19:57:56,3385,"Ashland, OR B",42.199935,-122.704227
2018-05-10 19:57:35,2717,Atascadero,35.494841,-120.665822
2018-05-10 19:56:45,2718,Atascadero B,35.494841,-120.665822
2018-05-10 19:57:32,4041,Austin Pad,30.306089,-97.72693
2018-05-10 19:57:54,4042,Austin Pad B,30.306089,-97.72693
2018-05-10 19:57:08,8772,Austinmer ,-34.303711,150.936563
2018-05-10 19:57:30,8773,Austinmer  B,-34.303711,150.936563
